year,month,day,max wind peak value,average wind velocity,precipitation level,sun hours,snow height,average degree of coverage,average degree of vaport pressure,average air pressure,average temperature,average relative humidity,max temperature,min temperature,min temperature 5cm
1879,1,1,,,2.2,,,4.0,6.0,972.0,4.4,72.0,9.3,1.5,
1879,1,2,,,0.5,,,,5.7,965.5,3.3,69.0,8.1,0.6,
1879,1,3,,,3.9,,,,5.1,967.1,0.5,83.0,1.9,-3.0,
1879,1,4,,,0.3,,,,6.5,960.6,3.6,78.0,8.1,0.1,
1879,1,5,,,0.6,,,6.7,4.7,972.4,-0.3,80.0,1.5,-2.5,
1879,1,6,,,0.0,,,7.0,4.7,977.4,-0.3,76.0,1.9,-1.3,
1879,1,7,,,0.0,,,5.7,,974.2,-2.0,,-0.5,-4.6,
1879,1,8,,,0.0,,,1.3,2.4,964.3,-6.9,66.0,-1.6,-8.6,
1879,1,9,,,2.8,,,3.0,2.3,964.1,-7.2,67.0,-6.1,-10.8,
1879,1,10,,,0.9,,,6.0,2.8,959.5,-6.6,74.0,-2.6,-9.0,
1879,1,11,,,1.2,,,8.0,2.7,961.9,-7.1,78.0,-3.5,-13.5,
1879,1,12,,,0.0,,,3.7,3.3,972.3,-3.2,76.0,-1.1,-11.1,
1879,1,13,,,0.0,,,5.7,3.5,986.6,-4.1,77.0,-1.0,-9.5,
1879,1,14,,,0.8,,,8.0,4.7,982.0,-1.3,85.0,0.5,-8.1,
1879,1,15,,,0.0,,,8.0,5.1,972.9,-1.1,89.0,2.0,-6.0,
1879,1,16,,,0.0,,,4.0,5.1,973.3,-0.2,79.0,4.3,-2.5,
1879,1,17,,,0.0,,,8.0,4.3,976.7,-2.9,87.0,-1.1,-5.5,
1879,1,18,,,0.0,,,5.3,4.1,979.9,-3.9,88.0,-0.4,-5.1,
1879,1,19,,,0.1,,,1.3,3.6,979.9,-4.1,75.0,-1.3,-8.1,
1879,1,20,,,0.0,,,8.0,2.9,980.2,-4.8,70.0,-3.1,-8.0,
1879,1,21,,,0.2,,,1.0,2.4,973.8,-8.1,74.0,-3.5,-13.0,
1879,1,22,,,0.0,,,7.3,2.7,972.4,-6.6,71.0,-4.3,-10.8,
1879,1,23,,,0.0,,,7.3,4.0,970.0,-1.8,75.0,0.8,-9.1,
1879,1,24,,,0.0,,,7.3,4.8,970.3,1.6,72.0,3.6,-3.3,
1879,1,25,,,0.0,,,4.0,5.1,972.4,1.4,76.0,4.6,-0.8,
1879,1,26,,,0.0,,,8.0,5.1,975.5,-0.7,86.0,1.0,-3.3,
1879,1,27,,,0.0,,,8.0,4.7,981.5,-0.7,81.0,0.0,-1.4,
1879,1,28,,,0.0,,,8.0,4.3,979.9,-1.9,80.0,-0.8,-2.6,
1879,1,29,,,0.0,,,8.0,4.1,980.4,-1.5,76.0,1.1,-3.3,
1879,1,30,,,0.1,,,7.3,4.3,979.6,-0.7,75.0,1.3,-2.6,
1879,1,31,,,0.9,,,8.0,4.8,978.6,-1.0,84.0,0.8,-2.4,
1879,2,1,,,0.0,,,6.0,5.2,974.5,-1.2,91.0,1.6,-2.4,
1879,2,2,,,1.4,,,8.0,,974.1,-5.0,,-2.4,-9.0,
1879,2,3,,,11.1,,,8.0,,967.1,-1.5,,0.8,-5.8,
1879,2,4,,,1.4,,,8.0,6.5,963.8,1.1,99.0,1.5,-1.5,
1879,2,5,,,0.0,,,8.0,,972.0,1.7,,3.1,0.9,
1879,2,6,,,0.0,,,8.0,6.5,970.2,1.1,96.0,3.8,0.0,
1879,2,7,,,1.6,,,3.3,6.5,970.3,2.5,86.0,8.8,-0.9,
1879,2,8,,,0.2,,,5.3,7.5,967.8,4.8,83.0,9.1,-0.3,
1879,2,9,,,0.5,,,6.0,7.2,968.6,3.5,91.0,7.3,0.5,
1879,2,10,,,8.1,,,7.7,7.6,957.0,5.4,84.0,9.4,2.0,
1879,2,11,,,3.7,,,7.7,8.4,950.2,4.8,98.0,7.1,1.1,
1879,2,12,,,0.3,,,7.3,8.1,956.5,6.0,88.0,8.6,3.1,
